Yorum,Tahmin
"Hepsi boşuna konuşuyor baştaki ne derse onu yapıyorlar laf olsun diye konusuyorlar,
",Olumlu
"Depremin oldugu bolgede fiyatlar en uygun olmazi lazim ki insanlar tekrar dönsün. Bu bölgeleri ayaga kaldirsin.kaderine terkedemezsiniz ceza kesilmeli fırsatçılara,
",Olumlu
"Biz rahatız defolup giden sensin,
",Olumsuz
"Para için bile olsa buraya dönülür mü,
",Olumsuz
"Saraç ailesine bakıyor, kadına maddi desteği sağliyor, kötü davranmıyor 
",Olumsuz
"Eee, boşanmak için bahane ne olmalı o zaman.
",Olumsuz
"İşte karşınızda büyük tezgah ve ön hazırlığı da yapmış.
",Olumlu
"
",Olumlu
"Kadının yeni hayat planı var.
",Tarafsız
"Kendine ayrı bir Ev ve nafaka koparıp ye ve bağımsız yaşamak, daha özgür hissetmek ve istediği zaman sevgili değiştirmek.
",Tarafsız
"Alemin kralı.,
",Olumlu
"Mükafat vermişler. 10 yıl ne ya,
",Tarafsız
"Bu çocuk önceleri çok zayıftı, sonra spora başladı ve vücudunu geliştirdi, muhtemelen aldığı ilaçlar vücud dengesini bozmuş olacak ki; bu hastalığa yakalandı.. Allah şifasını versin.,
",Olumsuz
"Bu avukatları anlamıyorum müvekkilinin ifadesine inanıp nasıl böyle açıklamalar yapabiliyorlar . Belki senin müvekkili yalancinin önde gideni . Avukatın işi suçlamak mıdır yani ? Öyleyse sıkıntılı iş Allah başa vermesin de beni böyle suçlayacak adam zor günler geçirir,
",Olumsuz
"tebrikler ilk defa bal tutan parmağını yalamamış demekki devletin kurumları incelense bile bişeyler çıkar bu devirde çıkmasa yadırgıyor insan ne hallere geldik....:),
",Olumsuz
"Biz de bunu merak ediyorduk bir tarafta insanlık can verirken toffolo'nu ne verdiği daha önemli.,
",Olumsuz
"Skandal paylaşım derken? Herkes sizin çomar hayatlarınızı yaşamak zorunda mı?,
",Olumsuz
"eeee fırıncıyı mı öldürdü,haber niye,
",Olumsuz
"Amerikada 10 evim olsa , gerçekten de bunları kendi temiz kazancimla elde etmişsem ve bana iftira atılıyor olsa bir daha bırakın Türkiye'ye gelmeyi, turkce konuşmazdim hayatimin sonuna kadar.,
",Olumlu
"Sanat adına bir şey yoktu, çıplaklık da bir yere kadar merak uyandırır; sizi tercih edecek özeliniz kalmadı...,
",Olumsuz
"Hizmetçilerle bir olunmaz Armağan bey,
",Olumlu
"KABARIKLIK HERŞEYİ ÖZETLİYOR.....,
",Olumsuz
"Bu çocukla aynı okuldaydık tam bi kekoydu hala aynı,
",Olumsuz
"Sizin din de fiyatlar nasıl avukat efendi. ? Bütçeme göre bir din bakıyorum ben de,
",Olumsuz
"ıyı de o hareket dogru mu ayıp bırsey 
",Olumlu
"ofkesını kontrol etmeyı bılmelı bence,
",Olumlu
"asıl önemli olan soru güzellik merkezi ne kadar kazandırır.lüks yaşam sunarmı. cevabı evet. çünkü günlük on kişiye randevu alsanız ortalama bir işlem üçbintl.10 müşteri günlük otuz bin aylık birmilyona yakın kazanç.yıllık 12 milyon.diğer maliyetler devede kulak. Bilmem kaç tane yurtdışında bile şubeleri varmış.Kara para şuan için inandırıcı değil.bunların mali ve hukuki bilgileri eksik.Mal varlıklarına el koymak nedir.3,5 yıl yatarı var. vergi elinin kiri.,
",Olumsuz
"hep öyle olur. alnımız açık.. dolandırıcılar,
",Olumsuz
"Kacinci yüzyildayiz hala kral karaliceyiz sömrü devletiyiz deseniz daha dogru olur.,
",Olumsuz
"Tik tok ta göğüs dekoltesi verenler bunun gibilerden bin kat daha namuslu bence...,
",Olumsuz
"Videolarınızın sesi açılmıyor,
",Olumsuz
"Aslanım benim,
",Tarafsız
"Gece gündüz çalıştım demiş. Bana geceleri daha çok çalışmış gibi geldi kanımca bence.,
",Olumlu
"Cihazlarımı ona geliş değil fahiş fiyata sattım okudum ilk başta yeminle,
",Tarafsız
"Paranın para etmediği zamanları yaşar insanlar...,
",Olumlu
"Dolandirici,
",Olumlu
"Parayı bulunca akrabalarda çoğalıyor doğal olarak :) Tüm akrabaları engelleyin sosyal medyalardan filan kafanız rahat oluyor :),
",Tarafsız
"Ümit'e bak hele nefessiz kaynatmış :),
",Tarafsız
"Ne yani gazzede savas var diye gundem mi degissin? Gorevleriniz hatirlatilmasinmi? O koltukta oturuyorsaniz gorevinizin hakkini vereceksiniz,
",Tarafsız
"3 yıl yatarlar en fazla,
",Olumlu
"Bir oyuncu inanmasa da bir rolü oynayabilir örnekleri çok fazla mesela çagrı filmine bakın hepimizin hayran oldugu Hz. Hamza rolünü Antony Quinn oynamış kendisi hristiyan ha dizi saçmadır değildir o ayrı izlediğim bir dizi değil yorum yapamam ama oyuncu inanmadığı değerleri savunan karakterleri oynayabilir dindarda olabilir ataistte, hırsızda katilde rol bu sonuçta,
",Olumsuz
"Bu sahislar önemli evrak değil gündeme getirmeye gerek yok,
",Olumsuz
"bir sapıklık engellenmiş. çok güzel.,
",Olumlu
"Eylül hanımı unutmayalım...,
",Olumlu
"Kazandığı paradan ağbisine vermediyse... Konuya tek taraflı bakıp haklı adam falan yazmayın bence. Adamın tipinde hayır yok. Kimbilir ne talepleri oldu vermeyince de böyle piyasaya çıkıp konuşuyor bence..,
",Olumsuz
"En azından ''okay okay... all right'' falan diye saçmalamamış, tesellimiz bu yani.,
",Tarafsız
"sadece çagla şikel yakalanmış arkadaslar,bize panik yok.sakin olun aman çaglaya bırsey olmasın.,
",Tarafsız
"CESARET OZGUVEN TAVAN YAPMIS FIRLAMIS UZAYA CIKMIS HAYRAN KALDIM HEPSINE.,
",Tarafsız
"Büyüksün Küçüğüm helal sana,
",Olumlu
"Boş adam,
",Olumsuz
"Normalde kasiyer bile olamayacak vasifta biri iken sosyal medya sayesinden unlenen bir sarlat.. .,
",Olumsuz
"Avrupa da ödül alan sanatçıların tamamı gazzete soykırım var çocuklar ölüyor dediler. Bizimkiler köpeğim beni izliyor lgbt ye özgürlük dediler. Acaba bunlar bizden mi Avrupa nin neyini aldılar,
",Olumsuz
"Tmm anladık bu saatten sonra istediğini yapabilirsin,
",Olumlu
"Yalı Çapkını Star tv de yayınlanıyor.Bazı ödüller hiç adil değildi.En iyi dizi çifti Afra ve Mert olmalıydı .Kıvanç ve Serenay değil.İki dizinin de izlenme oranları ortada.Ayrıca geçen sene Pınar Denize giden en iyi kadın oyuncu ödülü bu sene de ona gitti.Kanal d hep kendi yapımlarını ödüllendirmeye devam ediyor maalesef.Trt ve Atv dizilerinden kimse yoktu mesela.,
",Olumsuz
"Kesin hamiledir apar topar 5 ay görüşmeyle nikah yaptıklarına göre,
",Olumsuz
"3 kuruş etmezler,
",Olumsuz
"Enfkasyon yüksek oldugu icin tas yemistir,birde türkiyede yeseler tamam artik derler,
",Olumlu
"Çok sevindim çok dua ettim yaşasın diye çok şükür ALLAHıma.,
",Olumlu
"Rabbim kederli ailesine sabırlar versin,,
",Olumsuz
"Çevremde çok var saliyorlar cocuklarini sokağa sonra basına bir şey geldiğinde veryansın ediyorlar.,
",Olumlu
"Bu yapılan aşı herkezin DNA sını degistirdi. Yazik oldu aşı olanlara daha durun gelecek yillarda daha neler neler cikacak malesef,
",Olumsuz
"Ne öldürmesi... Öyle olsa dünyada insan kalmazdı...Bence Kavunların Genetiği ile oynanmıştır.,
",Olumsuz
"kardeşim geçen perşembe bende aynı sorunlardan hasta oldum şimdi varyant türkiyeye geldi tekirdağa kadar geldi mi diyelim. yediğimiz saçma şeylerden ne olduğunu bilmediğimiz ilaçlardan bünyemiz artık böyle tepki veriyor olamaz mı? aşı olmayın abi ben oldum evlilik için hala kendimi halsiz yorgun dinlemeyen hissediyorum.,
",Olumsuz
"Yıkama fileleri kullanmak gerekir,
",Olumsuz
"rus misafirperverliği bu kadar...daha ne bekliyordunuz ki...ne kadar ülkenin temsilcisi varsa rusun gözündeki kıymeti de o kadar. bir hiç..iyi olmuş elçilere.. adam olun bir daha o sizin ayağınıza gelsin.,
",Olumsuz
"Hastann haklı olabilecği ihtimalini hiç kimse düşünmemiş eldiveni sadece kendilerini korumak için kullanıyorlar. Bulaşıcı hastalık sahibi insandan temiz insanlara hastalık bulaştırmaları umurlarında değil. Şu anda dişçide bulaşan hepatit B virüsü yüzünden karaciğerim yavaş yavaş çürüyor ve muhtemelen bu yüzden öleceğim. Onlar bizi öldürürken sorun yok hasta uyarılarını görmezden geldiği için tokat yeyince ortalığı ayağa kaldıırıyorlar.,
",Olumsuz
"Yakında Türkiye'de de ortaya çıkar, biri ekranlarda görünür ve ''Yok öyle birşey'' der, 10 gün sonra da millet tapır tapır dökülmeye başladığında yine ekranlardan seslenir ve ölenlerin kabızlık neticesinde mevta olduklarını beyan eder...,
",Tarafsız
"Allah yardımcınız olsun yiğitler,
",Olumlu
"zurna sesi,
",Olumsuz
"Büyük devletler gerceklere gözünü kapattığında yıkıldıysa abd Osmanlı'dan daha uzun yıllar dünyaya liderlik edemez.,
",Tarafsız
"TÜRK ü sırtından vurana hiç bir borcumuz yok bizim,
",Olumlu
"Kuranda yazılanlar zaten bize bu kavmin yaptıklarının hiç şaşılacak bir şey olmadığını gösteriyor bu zalimleri dost edinen menfaat para uğruna değirmenine su taşıyan bizden değildir Allahın laneti mazlumları katleden aynı çanağı yalayan hainlerin zalimlerin üstüne olsun,
",Olumsuz
"Nazilerin, Yahudilere uyguladıkları benzer görüntüleri izlerken üzülüyorduk demek ki hak ediyormuşsunuz yazıklar olsun size ve insanlık dışı bu uygulamalarınıza,
",Olumsuz
"Açıklama yapmamışlar..Starbucks un da İsrail ile alakası yok..asosyal medyadan fitne cikaranlar. asıl israili etkileyecek şey petrol ve dolar buna da kimse yanaşmıyor. Zara made in Türkiye ürünleri çok..Batı Rusyayi boykot ediyim derken kendi ayağına sıktı Turkiyeli aynısını yapmasın?,
",Olumlu
"senı ben 50 yasından sonra formek ısterdım..elınde bır tanesı kalıyormu bır tanesı kalsada opte basının uzerıne koy ona sahıp cık..50 yasına bıle gelmeden dağılırsınız aha buraya yazdım,
",Olumsuz
"Gazzede hava sıcaklığı gündüz 20 derece civarı güneşli olursa sıkıntı yokta gece bu şekilde insan hasta olur,
",Tarafsız
"DURMAK YOK BAM BAM BAM ......,
",Olumsuz
"Afrika'da ne işimiz var diyenler deliklerinde saklanıyor.,
",Olumlu
"ülkeler büyük bir sava?a doğru ilerliyor mu ????,
",Olumlu
"Şöyle düşünelim; Adaları gitmek için vize ücreti yaklaşık 2000,00 TL vereceğiz. Ama yunana vatandaşı vizesiz geliyor.,
",Tarafsız
"Dünya çapında uygulayacakları elektrik kesintisi tiyatrosu için test yapıyorlar suçu güneşe yükleyecekler güneşle ilgili haberleri duymuşsunuzdur.,
",Olumlu
"Kadınlar erkeklerden daha cani olabilir,
",Tarafsız
"babadan oğula ne kalır ev, dükkan, para pul, onlarda ülke kalıyor,
",Olumsuz
"Bu yapılan aşı herkezin DNA sını degistirdi. Yazik oldu aşı olanlara daha durun gelecek yillarda daha neler neler cikacak malesef,
",Olumsuz
"Önemli olan sivillerin bombalanmasını yok edilmelerini , göçe zorlanmalarını önlemek. İsrail ordusu Tünellere giremiyormuş , ne gam...,
",Olumsuz
"Yunanlılara o kadar saydır yağdır sonra ayaklarına gidelim ne güzel bir yönetmek böyle,
",Tarafsız
"Bir halt yiyeceğiniz yok sadece laf,
",Olumlu
"bunlar şeytanın çocuklarıdır. sakın merhamet bekleme. zalimden merhamet beklemek en acınacak durumdur.,
",Olumlu
"Birakin oda havlasin,
",Tarafsız
"türkiye bence natodan ayrılmalı var oluyorda ne oluyor avrupa birligine giremiyoruz zaten ambargo üstüne ambargo uyguluyorlar türkiye kendi natosunu kurmalı eminim katılan ülkeler olacaktır .,
",Olumsuz
"bu mu ? vız gelir el - kassam kaçacak delik arasın,
",Olumlu
"Dırdırdır vırvırvır zırzırzır. Başka hiçbir işiniz yok. İsrail’in anladığı dilden konuşun ve hareket edin. Ama yok yok yok.,
",Olumsuz
"Yazıklar olsun bize.. Resmen dalga geçiyorlar Müslümanlarla,
",Olumsuz
"diri olarak yemis hemi?,
",Tarafsız
"Şu görüntülerden sonra tüm dünya yansın artık bunun kına yakmak rest çekmek ile sonuç vermeyecek artık islam dünyası peyganber efendimiz günü islam olmadığı ve bugün islamda güncelleme yapmak isteyenler bu YENİ TEKNOLOJİ HER GÜN GÜNCELLEME GELMEZ BİR KEZ YAZILMIŞ KİTAPTAN BAHSEDİYORUZ . İsrail’e bugün çıkarları için karşı koymayan islam alemi müslüman demek çok zor.İsrailde mahalle kabadayı gibi dünyaya rest çeker böyle,
",Tarafsız
"Cumhurbaşkanımız 2023' te Ay' a gidecektik. 22 gün kaldı hatırlatalım istedik.,
",Olumsuz
"Bu Vahşiyi durduracak kimse yok mu?,
",Olumlu
"Dumb and Dumber,
",Olumlu
"Eeee kim kaldırdı yani ortadan onuda açıklasanıza yahu bunlar tetikçi belli, en tepeye ulaşılmadıkça hiç önemi yok bu işlerin,
",Olumsuz
"Tolumun bozulmasinin nedeni bu şekilde haberleri servis edip normallestiren sizin gibi medya . İnsanlara bunları servis ederseniz tabiki bunlar aetar,
",Olumsuz
"Yunanistan ile aramızın düzelmesi güzel bir haber. Komşularımız ile aramızın düzelmesi güzel bir haber.,
",Olumlu
"Mesneviden ders aldin 
",Olumsuz
"Dondun mevlana gibiii... :)))),
",Olumlu
"bir tükmüklük canınız var nerden geliyor bu cesaret anlamadım,ne kullanıyonuz banada söyle,
",Olumsuz
"savas bu ne bekliyordunuz arkalarina teneke baglamamislar iyi ki,
",Tarafsız
"kassam tugayları 1 vuruyor israil 100 vuruyor sürdürülemez bu durm. yapmayın etmeyin.,
",Olumsuz
"Bir gece ansızın 1 haftalığına 10 adaniza para harcamak için gelebiliriz eyy Yunanistan,
",Olumsuz
"bütün dünya güçleri onlarla birlikte mecbur iyi olucaz daha tam bağımsız olamadık bence en iyiside bu şimdilik..,
",Olumlu
"Bence bu hic iyi olmadi, zaten parasi olan gidiyordu adalara orada eziyorlardi paralari. ama simdi kolaylik olunca hadi birde Adalari gorelim diyecek orta halli gidip parayi oraya birakacak geri donup bizim sahillerde para harcayamayacak, en ucuz en kalitesize yonelecek. Bu hamle Yerli Turizimin tabutuna cakilan bir civi dir demedi demeyin...
",Olumsuz
"
",Olumlu
"Vapur seferleri artacak, fiyatlar guncellenecek vs. vs.,
",Olumlu
"Gök yüzüne Rus bayrağı çizdiler.On numara karşılama olmuş.,
",Olumlu
"gece gidemeyince gündüz gitmiş,
",Olumlu
"İyi de cezaevinden çıkan kisilerin suça karışma oranı nedir. Daha çok suça meyil edebilir iyi analiz gerek,
",Olumlu
"ıyı de o hareket dogru mu ayıp bırsey 
",Olumlu
"ofkesını kontrol etmeyı bılmelı bence,
",Olumlu
"kardeşim geçen perşembe bende aynı sorunlardan hasta oldum şimdi varyant türkiyeye geldi tekirdağa kadar geldi mi diyelim. yediğimiz saçma şeylerden ne olduğunu bilmediğimiz ilaçlardan bünyemiz artık böyle tepki veriyor olamaz mı? aşı olmayın abi ben oldum evlilik için hala kendimi halsiz yorgun dinlemeyen hissediyorum.,
",Olumsuz
"bravo . tebrikler. evet evet. hatta ŞİDDET ile de kınadınız mı? 
",Olumlu
"kınım kınım da kınadık mı tamadır bu iş,
",Tarafsız
"Sayın sürücü ileride çıkmaz yol var mecburen R konumunda ilerleyiniz;)))),
",Tarafsız
"Can kardeşlerimiz geçmiş olsun.,
",Olumsuz
"Bizde çıkan bir olayda abd de haber oluyor mu acaba?? Bize ne,
",Tarafsız
"Yaw sen önce Ukraynayı kazanda sonra zırvala.,
",Tarafsız
"Tek marka değil tüm yabancı markalara boykot geçici değil kalıcı boykot.,
",Olumsuz
"Enfkasyon yüksek oldugu icin tas yemistir,birde türkiyede yeseler tamam artik derler,
",Olumlu
"Çok sevindim çok dua ettim yaşasın diye çok şükür ALLAHıma.,
",Olumlu
"Rabbim kederli ailesine sabırlar versin,,
",Olumsuz
"Bu yapılan aşı herkezin DNA sını degistirdi. Yazik oldu aşı olanlara daha durun gelecek yillarda daha neler neler cikacak malesef,
",Olumsuz
"Ne öldürmesi... Öyle olsa dünyada insan kalmazdı...Bence Kavunların Genetiği ile oynanmıştır.,
",Olumsuz
"kardeşim geçen perşembe bende aynı sorunlardan hasta oldum şimdi varyant türkiyeye geldi tekirdağa kadar geldi mi diyelim. yediğimiz saçma şeylerden ne olduğunu bilmediğimiz ilaçlardan bünyemiz artık böyle tepki veriyor olamaz mı? aşı olmayın abi ben oldum evlilik için hala kendimi halsiz yorgun dinlemeyen hissediyorum.,
",Olumsuz
"Yıkama fileleri kullanmak gerekir,
",Olumsuz
"rus misafirperverliği bu kadar...daha ne bekliyordunuz ki...ne kadar ülkenin temsilcisi varsa rusun gözündeki kıymeti de o kadar. bir hiç..iyi olmuş elçilere.. adam olun bir daha o sizin ayağınıza gelsin.,
",Olumsuz
"Hastann haklı olabilecği ihtimalini hiç kimse düşünmemiş eldiveni sadece kendilerini korumak için kullanıyorlar. Bulaşıcı hastalık sahibi insandan temiz insanlara hastalık bulaştırmaları umurlarında değil. Şu anda dişçide bulaşan hepatit B virüsü yüzünden karaciğerim yavaş yavaş çürüyor ve muhtemelen bu yüzden öleceğim. Onlar bizi öldürürken sorun yok hasta uyarılarını görmezden geldiği için tokat yeyince ortalığı ayağa kaldıırıyorlar.,
",Olumsuz
"Yakında Türkiye'de de ortaya çıkar, biri ekranlarda görünür ve ''Yok öyle birşey'' der, 10 gün sonra da millet tapır tapır dökülmeye başladığında yine ekranlardan seslenir ve ölenlerin kabızlık neticesinde mevta olduklarını beyan eder...,
",Tarafsız
